,name,url
123, Bandali Debs   ,https://killer.cloud/serial-killers/show/377/bandali-debs
124, Ozgur Dengiz  The Cannibal of Ankara ,https://killer.cloud/serial-killers/show/442/oezguer-dengiz
125," Karl Denke  The Cannibal of Ziębice, Vatter Denke ",https://killer.cloud/serial-killers/show/20/karl-denke
126, Joanna Dennehy  Peterborough ditch murders ,https://killer.cloud/serial-killers/show/441/joanna-dennehy
127," Paul Denyer  Paula Denyer, Frankston Killer ",https://killer.cloud/serial-killers/show/376/paul-denyer
128, Albert DeSalvo  Boston Strangler ,https://killer.cloud/serial-killers/show/85/boston-strangler
129, Samuel Dieteman  The Serial Shooters ,https://killer.cloud/serial-killers/show/468/samuel-dieteman
130, Thomas Dillon   ,https://killer.cloud/serial-killers/show/273/thomas-dillon
131, Léopold Dion  Monster of Port-Rouge ,https://killer.cloud/serial-killers/show/326/leopold-dion
132, Westley Allan Dodd  The Vancouver Child Killer ,https://killer.cloud/serial-killers/show/387/westley-allan-dodd
133, Ronald Dominique  The Bayou Strangler ,https://killer.cloud/serial-killers/show/27/ronald-dominique
134," Howell Donaldson  Seminole Heights serial killer, Tampa Bay Serial Killer ",https://killer.cloud/serial-killers/show/657/howell-donaldson
135, The Doodler  the Black Doodler ,https://killer.cloud/serial-killers/show/74/the-doodler
136," Nannie Doss  Giggling Nanny, Giggling Granny, Jolly Black Widow ",https://killer.cloud/serial-killers/show/106/nannie-doss
137, Sergei Dovzhenko  Murchik ,https://killer.cloud/serial-killers/show/632/sergei-dovzhenko
138," John Duffy  The Railway Killers, The Railway Rapists ",https://killer.cloud/serial-killers/show/601/john-duffy
139, Brian Dugan   ,https://killer.cloud/serial-killers/show/408/brian-dugan
140, Sibusiso Duma   ,https://killer.cloud/serial-killers/show/217/sibusiso-duma
141, Martin Dumollard  The Maid Killer ,https://killer.cloud/serial-killers/show/606/martin-dumollard
142, Joseph Edward Duncan  The Fifth Nail ,https://killer.cloud/serial-killers/show/264/joseph-e-duncan-iii
143, Jon Scott Dunkle  Peninsula Serial Killer ,https://killer.cloud/serial-killers/show/554/jon-scott-dunkle
144, Peter Dupas   ,https://killer.cloud/serial-killers/show/372/peter-dupas
145, Paul Durousseau  The Jacksonville Strangler ,https://killer.cloud/serial-killers/show/215/paul-durousseau
146, Marc Dutroux  Dutroux murders ,https://killer.cloud/serial-killers/show/278/marc-dutroux
147, Amelia Dyer  The Reading Baby Farmer ,https://killer.cloud/serial-killers/show/520/amelia-dyer
148," Nikolai Dzhumagaliev  Metal Fang, Kolya the Maneater ",https://killer.cloud/serial-killers/show/182/nikolai-dzhumagaliev
149, Volker Eckert  Brummi Killer ,https://killer.cloud/serial-killers/show/141/volker-eckert
